Nick,League Points,Total Games,Daily League Points,Daily Games,lolchess
제이허니,186,228,0,0,https://lolchess.gg/profile/KR/제이허니
Yonezu Kenshi,184,124,0,0,https://lolchess.gg/profile/KR/Yonezu Kenshi
저녁은 저년이야,184,97,0,0,https://lolchess.gg/profile/KR/저녁은 저년이야
피야노,182,150,0,0,https://lolchess.gg/profile/KR/피야노
모드리춘,181,176,0,0,https://lolchess.gg/profile/KR/모드리춘
북경아기삵,180,173,0,0,https://lolchess.gg/profile/KR/북경아기삵
퐁당 빠져버렷어,177,163,0,0,https://lolchess.gg/profile/KR/퐁당 빠져버렷어
behappy0504,176,174,0,0,https://lolchess.gg/profile/KR/behappy0504
적사스오,174,147,0,0,https://lolchess.gg/profile/KR/적사스오
장유보안관,172,139,0,0,https://lolchess.gg/profile/KR/장유보안관
조 득,172,247,0,0,https://lolchess.gg/profile/KR/조 득
빙이는 공주야,172,160,0,0,https://lolchess.gg/profile/KR/빙이는 공주야
10조동화,168,96,0,0,https://lolchess.gg/profile/KR/10조동화
데이터분석완료,168,143,0,0,https://lolchess.gg/profile/KR/데이터분석완료
싱싱싱싱,167,213,0,0,https://lolchess.gg/profile/KR/싱싱싱싱
내가 그때 널 잡았더라면,167,148,0,0,https://lolchess.gg/profile/KR/내가 그때 널 잡았더라면
두니가 제일잘함,166,244,0,0,https://lolchess.gg/profile/KR/두니가 제일잘함
일단내탓아니다,165,174,0,0,https://lolchess.gg/profile/KR/일단내탓아니다
올빼미형인간,164,117,0,0,https://lolchess.gg/profile/KR/올빼미형인간
내가 문제다,163,257,0,0,https://lolchess.gg/profile/KR/내가 문제다
OH MY EYE,162,80,0,0,https://lolchess.gg/profile/KR/OH MY EYE
김해 류호성,162,221,0,0,https://lolchess.gg/profile/KR/김해 류호성
33435,162,77,0,0,https://lolchess.gg/profile/KR/33435
lAB STUDIO,161,126,0,0,https://lolchess.gg/profile/KR/lAB STUDIO
김홍관,161,201,0,0,https://lolchess.gg/profile/KR/김홍관
스킬찍찍찍,160,146,0,0,https://lolchess.gg/profile/KR/스킬찍찍찍
BJ 김동오,160,153,0,0,https://lolchess.gg/profile/KR/BJ 김동오
홈카페프렌즈,159,168,0,0,https://lolchess.gg/profile/KR/홈카페프렌즈
롤 체 폐 인 남,158,144,0,0,https://lolchess.gg/profile/KR/롤 체 폐 인 남
숲들숲들,158,119,0,0,https://lolchess.gg/profile/KR/숲들숲들
대 깨,157,239,0,0,https://lolchess.gg/profile/KR/대 깨
PingPingPong,156,145,0,0,https://lolchess.gg/profile/KR/PingPingPong
명예4레벨,156,174,0,0,https://lolchess.gg/profile/KR/명예4레벨
비잉빙돌아가는,156,98,0,0,https://lolchess.gg/profile/KR/비잉빙돌아가는
이지은금동,154,103,0,0,https://lolchess.gg/profile/KR/이지은금동
TOP SOLO KlNG,154,158,0,0,https://lolchess.gg/profile/KR/TOP SOLO KlNG
lIlIIllIlllIlIll,153,94,0,0,https://lolchess.gg/profile/KR/lIlIIllIlllIlIll
와라이오니,152,138,0,0,https://lolchess.gg/profile/KR/와라이오니
