Nick,League Points,Total Games,Daily League Points,Daily Games,lolchess
genend,0,19,0,0,https://lolchess.gg/profile/BR/genend,https://app.mobalytics.gg/pt_br/tft/profile/BR/genend/overview
jangcut,0,109,0,0,https://lolchess.gg/profile/BR/jangcut,https://app.mobalytics.gg/pt_br/tft/profile/BR/jangcut/overview
cuchandat,0,154,0,0,https://lolchess.gg/profile/BR/cuchandat,https://app.mobalytics.gg/pt_br/tft/profile/BR/cuchandat/overview
Center Cherry,0,514,0,0,https://lolchess.gg/profile/BR/Center Cherry,https://app.mobalytics.gg/pt_br/tft/profile/BR/Center Cherry/overview
iiiiiisij,0,124,0,2,https://lolchess.gg/profile/BR/iiiiiisij,https://app.mobalytics.gg/pt_br/tft/profile/BR/iiiiiisij/overview
beobeo1234,0,181,0,0,https://lolchess.gg/profile/BR/beobeo1234,https://app.mobalytics.gg/pt_br/tft/profile/BR/beobeo1234/overview
kanoalter69,0,158,0,0,https://lolchess.gg/profile/BR/kanoalter69,https://app.mobalytics.gg/pt_br/tft/profile/BR/kanoalter69/overview
capejr,0,32,0,1,https://lolchess.gg/profile/BR/capejr,https://app.mobalytics.gg/pt_br/tft/profile/BR/capejr/overview
inionJP,0,126,0,0,https://lolchess.gg/profile/BR/inionJP,https://app.mobalytics.gg/pt_br/tft/profile/BR/inionJP/overview
ryze bot vietnam,0,260,0,31,https://lolchess.gg/profile/BR/ryze bot vietnam,https://app.mobalytics.gg/pt_br/tft/profile/BR/ryze bot vietnam/overview
CRフォーチュン6,0,60,0,0,https://lolchess.gg/profile/BR/CRフォーチュン6,https://app.mobalytics.gg/pt_br/tft/profile/BR/CRフォーチュン6/overview
utidautidautida,0,234,0,0,https://lolchess.gg/profile/BR/utidautidautida,https://app.mobalytics.gg/pt_br/tft/profile/BR/utidautidautida/overview
天晴去看海,0,91,0,0,https://lolchess.gg/profile/BR/天晴去看海,https://app.mobalytics.gg/pt_br/tft/profile/BR/天晴去看海/overview
zelpon,0,35,0,0,https://lolchess.gg/profile/BR/zelpon,https://app.mobalytics.gg/pt_br/tft/profile/BR/zelpon/overview
Solowly,0,55,0,0,https://lolchess.gg/profile/BR/Solowly,https://app.mobalytics.gg/pt_br/tft/profile/BR/Solowly/overview
huangting89,0,66,0,0,https://lolchess.gg/profile/BR/huangting89,https://app.mobalytics.gg/pt_br/tft/profile/BR/huangting89/overview
hjdxm,0,35,0,0,https://lolchess.gg/profile/BR/hjdxm,https://app.mobalytics.gg/pt_br/tft/profile/BR/hjdxm/overview
karimpani,0,241,0,0,https://lolchess.gg/profile/BR/karimpani,https://app.mobalytics.gg/pt_br/tft/profile/BR/karimpani/overview
widnbxhe,0,143,0,0,https://lolchess.gg/profile/BR/widnbxhe,https://app.mobalytics.gg/pt_br/tft/profile/BR/widnbxhe/overview
rossi,0,41,0,0,https://lolchess.gg/profile/BR/rossi,https://app.mobalytics.gg/pt_br/tft/profile/BR/rossi/overview
mooooma,0,200,0,0,https://lolchess.gg/profile/BR/mooooma,https://app.mobalytics.gg/pt_br/tft/profile/BR/mooooma/overview
メラゾーマ,0,62,0,0,https://lolchess.gg/profile/BR/メラゾーマ,https://app.mobalytics.gg/pt_br/tft/profile/BR/メラゾーマ/overview
yggjuh,0,280,0,3,https://lolchess.gg/profile/BR/yggjuh,https://app.mobalytics.gg/pt_br/tft/profile/BR/yggjuh/overview
tept,0,188,0,0,https://lolchess.gg/profile/BR/tept,https://app.mobalytics.gg/pt_br/tft/profile/BR/tept/overview
seether,0,62,0,0,https://lolchess.gg/profile/BR/seether,https://app.mobalytics.gg/pt_br/tft/profile/BR/seether/overview
goodskisjsnsnsns,0,103,0,0,https://lolchess.gg/profile/BR/goodskisjsnsnsns,https://app.mobalytics.gg/pt_br/tft/profile/BR/goodskisjsnsnsns/overview
マエダ,0,58,0,0,https://lolchess.gg/profile/BR/マエダ,https://app.mobalytics.gg/pt_br/tft/profile/BR/マエダ/overview
東京6k度,0,152,0,1,https://lolchess.gg/profile/BR/東京6k度,https://app.mobalytics.gg/pt_br/tft/profile/BR/東京6k度/overview
きゃん局長,0,287,0,0,https://lolchess.gg/profile/BR/きゃん局長,https://app.mobalytics.gg/pt_br/tft/profile/BR/きゃん局長/overview
All5Gold,0,234,0,1,https://lolchess.gg/profile/BR/All5Gold,https://app.mobalytics.gg/pt_br/tft/profile/BR/All5Gold/overview
LovelyTifa,0,92,0,0,https://lolchess.gg/profile/BR/LovelyTifa,https://app.mobalytics.gg/pt_br/tft/profile/BR/LovelyTifa/overview
ASXXA88,0,49,0,0,https://lolchess.gg/profile/BR/ASXXA88,https://app.mobalytics.gg/pt_br/tft/profile/BR/ASXXA88/overview
keitakun,0,24,0,0,https://lolchess.gg/profile/BR/keitakun,https://app.mobalytics.gg/pt_br/tft/profile/BR/keitakun/overview
Sierra,0,119,0,0,https://lolchess.gg/profile/BR/Sierra,https://app.mobalytics.gg/pt_br/tft/profile/BR/Sierra/overview
yatoto,0,231,0,35,https://lolchess.gg/profile/BR/yatoto,https://app.mobalytics.gg/pt_br/tft/profile/BR/yatoto/overview
CG一花海,0,104,0,0,https://lolchess.gg/profile/BR/CG一花海,https://app.mobalytics.gg/pt_br/tft/profile/BR/CG一花海/overview
Irisu syndrome,0,128,0,0,https://lolchess.gg/profile/BR/Irisu syndrome,https://app.mobalytics.gg/pt_br/tft/profile/BR/Irisu syndrome/overview
Gypsysunday,0,137,0,0,https://lolchess.gg/profile/BR/Gypsysunday,https://app.mobalytics.gg/pt_br/tft/profile/BR/Gypsysunday/overview
SkyVn93,0,292,0,2,https://lolchess.gg/profile/BR/SkyVn93,https://app.mobalytics.gg/pt_br/tft/profile/BR/SkyVn93/overview
Gab954,0,147,0,0,https://lolchess.gg/profile/BR/Gab954,https://app.mobalytics.gg/pt_br/tft/profile/BR/Gab954/overview
jackeyjk,0,146,0,19,https://lolchess.gg/profile/BR/jackeyjk,https://app.mobalytics.gg/pt_br/tft/profile/BR/jackeyjk/overview
あめぽん,0,89,0,0,https://lolchess.gg/profile/BR/あめぽん,https://app.mobalytics.gg/pt_br/tft/profile/BR/あめぽん/overview
rikka113,0,120,0,0,https://lolchess.gg/profile/BR/rikka113,https://app.mobalytics.gg/pt_br/tft/profile/BR/rikka113/overview
holi,0,472,0,0,https://lolchess.gg/profile/BR/holi,https://app.mobalytics.gg/pt_br/tft/profile/BR/holi/overview
陽光フラムグラス,0,153,0,0,https://lolchess.gg/profile/BR/陽光フラムグラス,https://app.mobalytics.gg/pt_br/tft/profile/BR/陽光フラムグラス/overview
ぽろっ,0,54,0,0,https://lolchess.gg/profile/BR/ぽろっ,https://app.mobalytics.gg/pt_br/tft/profile/BR/ぽろっ/overview
KongGirl,0,358,0,0,https://lolchess.gg/profile/BR/KongGirl,https://app.mobalytics.gg/pt_br/tft/profile/BR/KongGirl/overview
BlackIssss,0,189,0,0,https://lolchess.gg/profile/BR/BlackIssss,https://app.mobalytics.gg/pt_br/tft/profile/BR/BlackIssss/overview
TFT LBN,0,150,0,0,https://lolchess.gg/profile/BR/TFT LBN,https://app.mobalytics.gg/pt_br/tft/profile/BR/TFT LBN/overview
flagcrashers,0,221,0,10,https://lolchess.gg/profile/BR/flagcrashers,https://app.mobalytics.gg/pt_br/tft/profile/BR/flagcrashers/overview
nini kim,0,82,0,0,https://lolchess.gg/profile/BR/nini kim,https://app.mobalytics.gg/pt_br/tft/profile/BR/nini kim/overview
romanceGoGo,0,88,0,0,https://lolchess.gg/profile/BR/romanceGoGo,https://app.mobalytics.gg/pt_br/tft/profile/BR/romanceGoGo/overview
FENDI,0,289,0,0,https://lolchess.gg/profile/BR/FENDI,https://app.mobalytics.gg/pt_br/tft/profile/BR/FENDI/overview
paodon,0,127,0,0,https://lolchess.gg/profile/BR/paodon,https://app.mobalytics.gg/pt_br/tft/profile/BR/paodon/overview
Lyndra,0,282,0,0,https://lolchess.gg/profile/BR/Lyndra,https://app.mobalytics.gg/pt_br/tft/profile/BR/Lyndra/overview
Kaoru RabbyHouse,0,61,0,0,https://lolchess.gg/profile/BR/Kaoru RabbyHouse,https://app.mobalytics.gg/pt_br/tft/profile/BR/Kaoru RabbyHouse/overview
ni真好看,0,170,0,0,https://lolchess.gg/profile/BR/ni真好看,https://app.mobalytics.gg/pt_br/tft/profile/BR/ni真好看/overview
DforC,0,212,0,0,https://lolchess.gg/profile/BR/DforC,https://app.mobalytics.gg/pt_br/tft/profile/BR/DforC/overview
CarlosZXY,0,26,0,0,https://lolchess.gg/profile/BR/CarlosZXY,https://app.mobalytics.gg/pt_br/tft/profile/BR/CarlosZXY/overview
ノムタン,0,348,0,0,https://lolchess.gg/profile/BR/ノムタン,https://app.mobalytics.gg/pt_br/tft/profile/BR/ノムタン/overview
Speed Learning,0,120,0,0,https://lolchess.gg/profile/BR/Speed Learning,https://app.mobalytics.gg/pt_br/tft/profile/BR/Speed Learning/overview
thanghe548,0,238,0,0,https://lolchess.gg/profile/BR/thanghe548,https://app.mobalytics.gg/pt_br/tft/profile/BR/thanghe548/overview
nhokbuon,0,293,0,12,https://lolchess.gg/profile/BR/nhokbuon,https://app.mobalytics.gg/pt_br/tft/profile/BR/nhokbuon/overview
ふじつぼ,0,101,0,0,https://lolchess.gg/profile/BR/ふじつぼ,https://app.mobalytics.gg/pt_br/tft/profile/BR/ふじつぼ/overview
Espe0n,0,73,0,0,https://lolchess.gg/profile/BR/Espe0n,https://app.mobalytics.gg/pt_br/tft/profile/BR/Espe0n/overview
ネオライザー,0,115,0,0,https://lolchess.gg/profile/BR/ネオライザー,https://app.mobalytics.gg/pt_br/tft/profile/BR/ネオライザー/overview
8kin,0,817,0,0,https://lolchess.gg/profile/BR/8kin,https://app.mobalytics.gg/pt_br/tft/profile/BR/8kin/overview
773753538,0,146,0,0,https://lolchess.gg/profile/BR/773753538,https://app.mobalytics.gg/pt_br/tft/profile/BR/773753538/overview
小鬼子日子不錯,0,170,0,0,https://lolchess.gg/profile/BR/小鬼子日子不錯,https://app.mobalytics.gg/pt_br/tft/profile/BR/小鬼子日子不錯/overview
ゆうやみ,0,153,0,5,https://lolchess.gg/profile/BR/ゆうやみ,https://app.mobalytics.gg/pt_br/tft/profile/BR/ゆうやみ/overview
Diisuke,0,109,0,1,https://lolchess.gg/profile/BR/Diisuke,https://app.mobalytics.gg/pt_br/tft/profile/BR/Diisuke/overview
海月の骨,0,297,0,0,https://lolchess.gg/profile/BR/海月の骨,https://app.mobalytics.gg/pt_br/tft/profile/BR/海月の骨/overview
polpnx,0,294,0,0,https://lolchess.gg/profile/BR/polpnx,https://app.mobalytics.gg/pt_br/tft/profile/BR/polpnx/overview
梅マスカット,0,186,0,1,https://lolchess.gg/profile/BR/梅マスカット,https://app.mobalytics.gg/pt_br/tft/profile/BR/梅マスカット/overview
shuuning,0,74,0,0,https://lolchess.gg/profile/BR/shuuning,https://app.mobalytics.gg/pt_br/tft/profile/BR/shuuning/overview
HiROKKtft,0,237,0,0,https://lolchess.gg/profile/BR/HiROKKtft,https://app.mobalytics.gg/pt_br/tft/profile/BR/HiROKKtft/overview
 challenge JAV,0,109,0,2,https://lolchess.gg/profile/BR/ challenge JAV,https://app.mobalytics.gg/pt_br/tft/profile/BR/ challenge JAV/overview
犬出没注意,0,169,0,0,https://lolchess.gg/profile/BR/犬出没注意,https://app.mobalytics.gg/pt_br/tft/profile/BR/犬出没注意/overview
ティエルノ,0,91,0,1,https://lolchess.gg/profile/BR/ティエルノ,https://app.mobalytics.gg/pt_br/tft/profile/BR/ティエルノ/overview
ふぇるたく,0,83,0,0,https://lolchess.gg/profile/BR/ふぇるたく,https://app.mobalytics.gg/pt_br/tft/profile/BR/ふぇるたく/overview
King Taric,0,241,0,0,https://lolchess.gg/profile/BR/King Taric,https://app.mobalytics.gg/pt_br/tft/profile/BR/King Taric/overview
RnT,0,366,0,0,https://lolchess.gg/profile/BR/RnT,https://app.mobalytics.gg/pt_br/tft/profile/BR/RnT/overview
Zed Won,0,76,0,0,https://lolchess.gg/profile/BR/Zed Won,https://app.mobalytics.gg/pt_br/tft/profile/BR/Zed Won/overview
Akï,0,240,0,1,https://lolchess.gg/profile/BR/Akï,https://app.mobalytics.gg/pt_br/tft/profile/BR/Akï/overview
gyasy,0,38,0,0,https://lolchess.gg/profile/BR/gyasy,https://app.mobalytics.gg/pt_br/tft/profile/BR/gyasy/overview
takumaru,0,254,0,0,https://lolchess.gg/profile/BR/takumaru,https://app.mobalytics.gg/pt_br/tft/profile/BR/takumaru/overview
てくてく天ちゃん,0,265,0,2,https://lolchess.gg/profile/BR/てくてく天ちゃん,https://app.mobalytics.gg/pt_br/tft/profile/BR/てくてく天ちゃん/overview
くれあろ,0,198,0,0,https://lolchess.gg/profile/BR/くれあろ,https://app.mobalytics.gg/pt_br/tft/profile/BR/くれあろ/overview
HBGBLN,0,74,0,1,https://lolchess.gg/profile/BR/HBGBLN,https://app.mobalytics.gg/pt_br/tft/profile/BR/HBGBLN/overview
soma509,0,107,0,1,https://lolchess.gg/profile/BR/soma509,https://app.mobalytics.gg/pt_br/tft/profile/BR/soma509/overview
Shiromine,0,69,0,0,https://lolchess.gg/profile/BR/Shiromine,https://app.mobalytics.gg/pt_br/tft/profile/BR/Shiromine/overview
Schne,0,64,0,0,https://lolchess.gg/profile/BR/Schne,https://app.mobalytics.gg/pt_br/tft/profile/BR/Schne/overview
Starfish4,0,489,0,0,https://lolchess.gg/profile/BR/Starfish4,https://app.mobalytics.gg/pt_br/tft/profile/BR/Starfish4/overview
zake1660,0,172,0,0,https://lolchess.gg/profile/BR/zake1660,https://app.mobalytics.gg/pt_br/tft/profile/BR/zake1660/overview
vegedot,0,143,0,0,https://lolchess.gg/profile/BR/vegedot,https://app.mobalytics.gg/pt_br/tft/profile/BR/vegedot/overview
F0REVER GOD,0,90,0,0,https://lolchess.gg/profile/BR/F0REVER GOD,https://app.mobalytics.gg/pt_br/tft/profile/BR/F0REVER GOD/overview
2855676,0,156,0,0,https://lolchess.gg/profile/BR/2855676,https://app.mobalytics.gg/pt_br/tft/profile/BR/2855676/overview
しなもんすき,0,92,0,0,https://lolchess.gg/profile/BR/しなもんすき,https://app.mobalytics.gg/pt_br/tft/profile/BR/しなもんすき/overview
chekepay,0,157,0,11,https://lolchess.gg/profile/BR/chekepay,https://app.mobalytics.gg/pt_br/tft/profile/BR/chekepay/overview
Traivjppro,0,430,0,15,https://lolchess.gg/profile/BR/Traivjppro,https://app.mobalytics.gg/pt_br/tft/profile/BR/Traivjppro/overview
tempeblaowzigzsp,0,87,0,0,https://lolchess.gg/profile/BR/tempeblaowzigzsp,https://app.mobalytics.gg/pt_br/tft/profile/BR/tempeblaowzigzsp/overview
bebimuhi,0,124,0,0,https://lolchess.gg/profile/BR/bebimuhi,https://app.mobalytics.gg/pt_br/tft/profile/BR/bebimuhi/overview
gotosandesu,0,91,0,0,https://lolchess.gg/profile/BR/gotosandesu,https://app.mobalytics.gg/pt_br/tft/profile/BR/gotosandesu/overview
on9yc,0,26,0,0,https://lolchess.gg/profile/BR/on9yc,https://app.mobalytics.gg/pt_br/tft/profile/BR/on9yc/overview
二次元,0,27,0,0,https://lolchess.gg/profile/BR/二次元,https://app.mobalytics.gg/pt_br/tft/profile/BR/二次元/overview
folderreturn,0,146,0,0,https://lolchess.gg/profile/BR/folderreturn,https://app.mobalytics.gg/pt_br/tft/profile/BR/folderreturn/overview
Mid1996,0,413,0,0,https://lolchess.gg/profile/BR/Mid1996,https://app.mobalytics.gg/pt_br/tft/profile/BR/Mid1996/overview
Charlotte,0,44,0,0,https://lolchess.gg/profile/BR/Charlotte,https://app.mobalytics.gg/pt_br/tft/profile/BR/Charlotte/overview
signeo0612,0,108,0,0,https://lolchess.gg/profile/BR/signeo0612,https://app.mobalytics.gg/pt_br/tft/profile/BR/signeo0612/overview
priyome,0,179,0,0,https://lolchess.gg/profile/BR/priyome,https://app.mobalytics.gg/pt_br/tft/profile/BR/priyome/overview
numata,0,563,0,0,https://lolchess.gg/profile/BR/numata,https://app.mobalytics.gg/pt_br/tft/profile/BR/numata/overview
サランダー,0,186,0,0,https://lolchess.gg/profile/BR/サランダー,https://app.mobalytics.gg/pt_br/tft/profile/BR/サランダー/overview
Fa Hasici,0,471,0,0,https://lolchess.gg/profile/BR/Fa Hasici,https://app.mobalytics.gg/pt_br/tft/profile/BR/Fa Hasici/overview
希希名,0,272,0,0,https://lolchess.gg/profile/BR/希希名,https://app.mobalytics.gg/pt_br/tft/profile/BR/希希名/overview
RNG Hang,0,78,0,0,https://lolchess.gg/profile/BR/RNG Hang,https://app.mobalytics.gg/pt_br/tft/profile/BR/RNG Hang/overview
Galaxytft,0,125,0,0,https://lolchess.gg/profile/BR/Galaxytft,https://app.mobalytics.gg/pt_br/tft/profile/BR/Galaxytft/overview
野見隆明,0,183,0,1,https://lolchess.gg/profile/BR/野見隆明,https://app.mobalytics.gg/pt_br/tft/profile/BR/野見隆明/overview
hirosesuz,0,191,0,15,https://lolchess.gg/profile/BR/hirosesuz,https://app.mobalytics.gg/pt_br/tft/profile/BR/hirosesuz/overview
GTC,0,247,0,0,https://lolchess.gg/profile/BR/GTC,https://app.mobalytics.gg/pt_br/tft/profile/BR/GTC/overview
me top eight,0,133,0,0,https://lolchess.gg/profile/BR/me top eight,https://app.mobalytics.gg/pt_br/tft/profile/BR/me top eight/overview
kdhxueb,0,286,0,4,https://lolchess.gg/profile/BR/kdhxueb,https://app.mobalytics.gg/pt_br/tft/profile/BR/kdhxueb/overview
Joyboy,0,274,0,0,https://lolchess.gg/profile/BR/Joyboy,https://app.mobalytics.gg/pt_br/tft/profile/BR/Joyboy/overview
chet,0,34,0,0,https://lolchess.gg/profile/BR/chet,https://app.mobalytics.gg/pt_br/tft/profile/BR/chet/overview
えるべさん,0,120,0,5,https://lolchess.gg/profile/BR/えるべさん,https://app.mobalytics.gg/pt_br/tft/profile/BR/えるべさん/overview
NUVEO,0,107,0,0,https://lolchess.gg/profile/BR/NUVEO,https://app.mobalytics.gg/pt_br/tft/profile/BR/NUVEO/overview
Tetra pakistan ,0,451,0,0,https://lolchess.gg/profile/BR/Tetra pakistan ,https://app.mobalytics.gg/pt_br/tft/profile/BR/Tetra pakistan /overview
地固め,0,52,0,0,https://lolchess.gg/profile/BR/地固め,https://app.mobalytics.gg/pt_br/tft/profile/BR/地固め/overview
イ加ス,0,124,0,0,https://lolchess.gg/profile/BR/イ加ス,https://app.mobalytics.gg/pt_br/tft/profile/BR/イ加ス/overview
いいですか,0,70,0,0,https://lolchess.gg/profile/BR/いいですか,https://app.mobalytics.gg/pt_br/tft/profile/BR/いいですか/overview
うぇんちゃん,0,81,0,0,https://lolchess.gg/profile/BR/うぇんちゃん,https://app.mobalytics.gg/pt_br/tft/profile/BR/うぇんちゃん/overview
Nhi,0,154,0,0,https://lolchess.gg/profile/BR/Nhi,https://app.mobalytics.gg/pt_br/tft/profile/BR/Nhi/overview
よしのぶスターク,0,255,0,2,https://lolchess.gg/profile/BR/よしのぶスターク,https://app.mobalytics.gg/pt_br/tft/profile/BR/よしのぶスターク/overview
HrS Mk2,0,32,0,0,https://lolchess.gg/profile/BR/HrS Mk2,https://app.mobalytics.gg/pt_br/tft/profile/BR/HrS Mk2/overview
ななふし,0,64,0,0,https://lolchess.gg/profile/BR/ななふし,https://app.mobalytics.gg/pt_br/tft/profile/BR/ななふし/overview
サ メ,0,159,0,1,https://lolchess.gg/profile/BR/サ メ,https://app.mobalytics.gg/pt_br/tft/profile/BR/サ メ/overview
Trangbeo8995,0,208,0,0,https://lolchess.gg/profile/BR/Trangbeo8995,https://app.mobalytics.gg/pt_br/tft/profile/BR/Trangbeo8995/overview
sktyle,0,550,0,51,https://lolchess.gg/profile/BR/sktyle,https://app.mobalytics.gg/pt_br/tft/profile/BR/sktyle/overview
22th Feb ,0,121,0,0,https://lolchess.gg/profile/BR/22th Feb ,https://app.mobalytics.gg/pt_br/tft/profile/BR/22th Feb /overview
hoainhon,0,365,0,0,https://lolchess.gg/profile/BR/hoainhon,https://app.mobalytics.gg/pt_br/tft/profile/BR/hoainhon/overview
SpringTrG,0,135,0,0,https://lolchess.gg/profile/BR/SpringTrG,https://app.mobalytics.gg/pt_br/tft/profile/BR/SpringTrG/overview
Rekce,0,141,0,0,https://lolchess.gg/profile/BR/Rekce,https://app.mobalytics.gg/pt_br/tft/profile/BR/Rekce/overview
ZenOh0,0,102,0,0,https://lolchess.gg/profile/BR/ZenOh0,https://app.mobalytics.gg/pt_br/tft/profile/BR/ZenOh0/overview
叫我大猪哥昂,0,88,0,0,https://lolchess.gg/profile/BR/叫我大猪哥昂,https://app.mobalytics.gg/pt_br/tft/profile/BR/叫我大猪哥昂/overview
heibaibai,0,79,0,0,https://lolchess.gg/profile/BR/heibaibai,https://app.mobalytics.gg/pt_br/tft/profile/BR/heibaibai/overview
FloMarju,0,185,0,4,https://lolchess.gg/profile/BR/FloMarju,https://app.mobalytics.gg/pt_br/tft/profile/BR/FloMarju/overview
MINTYINPARIS,0,373,0,0,https://lolchess.gg/profile/BR/MINTYINPARIS,https://app.mobalytics.gg/pt_br/tft/profile/BR/MINTYINPARIS/overview
sangkaka,0,178,0,0,https://lolchess.gg/profile/BR/sangkaka,https://app.mobalytics.gg/pt_br/tft/profile/BR/sangkaka/overview
Huni d5c8,0,73,0,0,https://lolchess.gg/profile/BR/Huni d5c8,https://app.mobalytics.gg/pt_br/tft/profile/BR/Huni d5c8/overview
monikona,0,49,0,0,https://lolchess.gg/profile/BR/monikona,https://app.mobalytics.gg/pt_br/tft/profile/BR/monikona/overview
孤 独,0,97,0,0,https://lolchess.gg/profile/BR/孤 独,https://app.mobalytics.gg/pt_br/tft/profile/BR/孤 独/overview
ten59,0,111,0,0,https://lolchess.gg/profile/BR/ten59,https://app.mobalytics.gg/pt_br/tft/profile/BR/ten59/overview
longfeifeifei,0,280,0,0,https://lolchess.gg/profile/BR/longfeifeifei,https://app.mobalytics.gg/pt_br/tft/profile/BR/longfeifeifei/overview
デスニート野武士,0,415,0,3,https://lolchess.gg/profile/BR/デスニート野武士,https://app.mobalytics.gg/pt_br/tft/profile/BR/デスニート野武士/overview
byakusou,0,74,0,0,https://lolchess.gg/profile/BR/byakusou,https://app.mobalytics.gg/pt_br/tft/profile/BR/byakusou/overview
Drakee,0,106,0,0,https://lolchess.gg/profile/BR/Drakee,https://app.mobalytics.gg/pt_br/tft/profile/BR/Drakee/overview
nikonii,0,52,0,0,https://lolchess.gg/profile/BR/nikonii,https://app.mobalytics.gg/pt_br/tft/profile/BR/nikonii/overview
だにお,0,151,0,0,https://lolchess.gg/profile/BR/だにお,https://app.mobalytics.gg/pt_br/tft/profile/BR/だにお/overview
dxfszjЬ67,0,70,0,0,https://lolchess.gg/profile/BR/dxfszjЬ67,https://app.mobalytics.gg/pt_br/tft/profile/BR/dxfszjЬ67/overview
TFT Huy Ngo,0,233,0,0,https://lolchess.gg/profile/BR/TFT Huy Ngo,https://app.mobalytics.gg/pt_br/tft/profile/BR/TFT Huy Ngo/overview
堕天使ウニエル,0,35,0,0,https://lolchess.gg/profile/BR/堕天使ウニエル,https://app.mobalytics.gg/pt_br/tft/profile/BR/堕天使ウニエル/overview
ryutb,0,23,0,0,https://lolchess.gg/profile/BR/ryutb,https://app.mobalytics.gg/pt_br/tft/profile/BR/ryutb/overview
kurowizu,0,33,0,0,https://lolchess.gg/profile/BR/kurowizu,https://app.mobalytics.gg/pt_br/tft/profile/BR/kurowizu/overview
Ppp,0,57,0,0,https://lolchess.gg/profile/BR/Ppp,https://app.mobalytics.gg/pt_br/tft/profile/BR/Ppp/overview
mikan0x0,0,52,0,0,https://lolchess.gg/profile/BR/mikan0x0,https://app.mobalytics.gg/pt_br/tft/profile/BR/mikan0x0/overview
ρ y,0,250,0,2,https://lolchess.gg/profile/BR/ρ y,https://app.mobalytics.gg/pt_br/tft/profile/BR/ρ y/overview
バス乗りサルノリ,0,94,0,0,https://lolchess.gg/profile/BR/バス乗りサルノリ,https://app.mobalytics.gg/pt_br/tft/profile/BR/バス乗りサルノリ/overview
Hello chinese,0,145,0,0,https://lolchess.gg/profile/BR/Hello chinese,https://app.mobalytics.gg/pt_br/tft/profile/BR/Hello chinese/overview
haseyan0722,0,115,0,0,https://lolchess.gg/profile/BR/haseyan0722,https://app.mobalytics.gg/pt_br/tft/profile/BR/haseyan0722/overview
可能我,0,105,0,0,https://lolchess.gg/profile/BR/可能我,https://app.mobalytics.gg/pt_br/tft/profile/BR/可能我/overview
kit4kubu,0,163,0,0,https://lolchess.gg/profile/BR/kit4kubu,https://app.mobalytics.gg/pt_br/tft/profile/BR/kit4kubu/overview
雨の中,0,187,0,0,https://lolchess.gg/profile/BR/雨の中,https://app.mobalytics.gg/pt_br/tft/profile/BR/雨の中/overview
syre,0,52,0,0,https://lolchess.gg/profile/BR/syre,https://app.mobalytics.gg/pt_br/tft/profile/BR/syre/overview
ArchXD,0,160,0,0,https://lolchess.gg/profile/BR/ArchXD,https://app.mobalytics.gg/pt_br/tft/profile/BR/ArchXD/overview
西寺郷太,0,40,0,0,https://lolchess.gg/profile/BR/西寺郷太,https://app.mobalytics.gg/pt_br/tft/profile/BR/西寺郷太/overview
VNNNNNNNNNNNNNNN,0,258,0,0,https://lolchess.gg/profile/BR/VNNNNNNNNNNNNNNN,https://app.mobalytics.gg/pt_br/tft/profile/BR/VNNNNNNNNNNNNNNN/overview
NegiSenpai,0,229,0,0,https://lolchess.gg/profile/BR/NegiSenpai,https://app.mobalytics.gg/pt_br/tft/profile/BR/NegiSenpai/overview
Hisoca,0,86,0,0,https://lolchess.gg/profile/BR/Hisoca,https://app.mobalytics.gg/pt_br/tft/profile/BR/Hisoca/overview
Haqen999,0,81,0,0,https://lolchess.gg/profile/BR/Haqen999,https://app.mobalytics.gg/pt_br/tft/profile/BR/Haqen999/overview
Raias,0,85,0,0,https://lolchess.gg/profile/BR/Raias,https://app.mobalytics.gg/pt_br/tft/profile/BR/Raias/overview
ebann,0,233,0,0,https://lolchess.gg/profile/BR/ebann,https://app.mobalytics.gg/pt_br/tft/profile/BR/ebann/overview
lyfa,0,49,0,0,https://lolchess.gg/profile/BR/lyfa,https://app.mobalytics.gg/pt_br/tft/profile/BR/lyfa/overview
Zhuwenhh,0,225,0,11,https://lolchess.gg/profile/BR/Zhuwenhh,https://app.mobalytics.gg/pt_br/tft/profile/BR/Zhuwenhh/overview
marimon,0,47,0,0,https://lolchess.gg/profile/BR/marimon,https://app.mobalytics.gg/pt_br/tft/profile/BR/marimon/overview
Gashina,0,489,0,1,https://lolchess.gg/profile/BR/Gashina,https://app.mobalytics.gg/pt_br/tft/profile/BR/Gashina/overview
mv4,0,89,0,0,https://lolchess.gg/profile/BR/mv4,https://app.mobalytics.gg/pt_br/tft/profile/BR/mv4/overview
もこもこー,0,150,0,2,https://lolchess.gg/profile/BR/もこもこー,https://app.mobalytics.gg/pt_br/tft/profile/BR/もこもこー/overview
Ak3g,0,111,0,0,https://lolchess.gg/profile/BR/Ak3g,https://app.mobalytics.gg/pt_br/tft/profile/BR/Ak3g/overview
Game Gomi,0,77,0,0,https://lolchess.gg/profile/BR/Game Gomi,https://app.mobalytics.gg/pt_br/tft/profile/BR/Game Gomi/overview
syakin12,0,57,0,0,https://lolchess.gg/profile/BR/syakin12,https://app.mobalytics.gg/pt_br/tft/profile/BR/syakin12/overview
VietCong95,0,197,0,0,https://lolchess.gg/profile/BR/VietCong95,https://app.mobalytics.gg/pt_br/tft/profile/BR/VietCong95/overview
NellyA,0,324,0,0,https://lolchess.gg/profile/BR/NellyA,https://app.mobalytics.gg/pt_br/tft/profile/BR/NellyA/overview
