Nick,League Points,Total Games,Daily League Points,Daily Games,lolchess
socutewoo,97,228,97,29,https://lolchess.gg/profile/BR/socutewoo,https://app.mobalytics.gg/pt_br/tft/profile/BR/socutewoo/overview
Vizuru,131,141,96,12,https://lolchess.gg/profile/BR/Vizuru,https://app.mobalytics.gg/pt_br/tft/profile/BR/Vizuru/overview
marunyanko,108,226,96,80,https://lolchess.gg/profile/BR/marunyanko,https://app.mobalytics.gg/pt_br/tft/profile/BR/marunyanko/overview
karlsama,95,177,95,28,https://lolchess.gg/profile/BR/karlsama,https://app.mobalytics.gg/pt_br/tft/profile/BR/karlsama/overview
i0rE,325,243,94,16,https://lolchess.gg/profile/BR/i0rE,https://app.mobalytics.gg/pt_br/tft/profile/BR/i0rE/overview
Starboyyyy,94,87,94,18,https://lolchess.gg/profile/BR/Starboyyyy,https://app.mobalytics.gg/pt_br/tft/profile/BR/Starboyyyy/overview
Hiraino,1029,449,93,11,https://lolchess.gg/profile/BR/Hiraino,https://app.mobalytics.gg/pt_br/tft/profile/BR/Hiraino/overview
shan777,865,441,93,10,https://lolchess.gg/profile/BR/shan777,https://app.mobalytics.gg/pt_br/tft/profile/BR/shan777/overview
時の翼,644,298,92,61,https://lolchess.gg/profile/BR/時の翼,https://app.mobalytics.gg/pt_br/tft/profile/BR/時の翼/overview
CoinFlipGaming,495,327,92,24,https://lolchess.gg/profile/BR/CoinFlipGaming,https://app.mobalytics.gg/pt_br/tft/profile/BR/CoinFlipGaming/overview
yukiguniflower,212,233,92,13,https://lolchess.gg/profile/BR/yukiguniflower,https://app.mobalytics.gg/pt_br/tft/profile/BR/yukiguniflower/overview
krolik,108,352,92,44,https://lolchess.gg/profile/BR/krolik,https://app.mobalytics.gg/pt_br/tft/profile/BR/krolik/overview
YanaGiX,92,311,92,47,https://lolchess.gg/profile/BR/YanaGiX,https://app.mobalytics.gg/pt_br/tft/profile/BR/YanaGiX/overview
ponkan893,90,404,90,47,https://lolchess.gg/profile/BR/ponkan893,https://app.mobalytics.gg/pt_br/tft/profile/BR/ponkan893/overview
sakura427,101,504,89,87,https://lolchess.gg/profile/BR/sakura427,https://app.mobalytics.gg/pt_br/tft/profile/BR/sakura427/overview
Pzzzzzzz,99,368,89,35,https://lolchess.gg/profile/BR/Pzzzzzzz,https://app.mobalytics.gg/pt_br/tft/profile/BR/Pzzzzzzz/overview
VN LeDuc ,105,307,87,70,https://lolchess.gg/profile/BR/VN LeDuc ,https://app.mobalytics.gg/pt_br/tft/profile/BR/VN LeDuc /overview
もも助,244,352,86,23,https://lolchess.gg/profile/BR/もも助,https://app.mobalytics.gg/pt_br/tft/profile/BR/もも助/overview
gou,175,294,86,34,https://lolchess.gg/profile/BR/gou,https://app.mobalytics.gg/pt_br/tft/profile/BR/gou/overview
Dr コトオ,123,155,86,37,https://lolchess.gg/profile/BR/Dr コトオ,https://app.mobalytics.gg/pt_br/tft/profile/BR/Dr コトオ/overview
銀色赤底の実,86,244,86,36,https://lolchess.gg/profile/BR/銀色赤底の実,https://app.mobalytics.gg/pt_br/tft/profile/BR/銀色赤底の実/overview
level5,164,335,84,63,https://lolchess.gg/profile/BR/level5,https://app.mobalytics.gg/pt_br/tft/profile/BR/level5/overview
ririos,84,414,84,34,https://lolchess.gg/profile/BR/ririos,https://app.mobalytics.gg/pt_br/tft/profile/BR/ririos/overview
meso132,446,511,83,30,https://lolchess.gg/profile/BR/meso132,https://app.mobalytics.gg/pt_br/tft/profile/BR/meso132/overview
黒井御米,134,429,83,64,https://lolchess.gg/profile/BR/黒井御米,https://app.mobalytics.gg/pt_br/tft/profile/BR/黒井御米/overview
washioreboku,112,525,83,119,https://lolchess.gg/profile/BR/washioreboku,https://app.mobalytics.gg/pt_br/tft/profile/BR/washioreboku/overview
花が咲く三の季節,187,559,82,81,https://lolchess.gg/profile/BR/花が咲く三の季節,https://app.mobalytics.gg/pt_br/tft/profile/BR/花が咲く三の季節/overview
tokkyi,213,230,80,75,https://lolchess.gg/profile/BR/tokkyi,https://app.mobalytics.gg/pt_br/tft/profile/BR/tokkyi/overview
吃不起菜叶蛋,120,318,79,40,https://lolchess.gg/profile/BR/吃不起菜叶蛋,https://app.mobalytics.gg/pt_br/tft/profile/BR/吃不起菜叶蛋/overview
metancocoa,79,447,79,21,https://lolchess.gg/profile/BR/metancocoa,https://app.mobalytics.gg/pt_br/tft/profile/BR/metancocoa/overview
るんるん,262,507,78,58,https://lolchess.gg/profile/BR/るんるん,https://app.mobalytics.gg/pt_br/tft/profile/BR/るんるん/overview
cMAXtempura,165,525,78,144,https://lolchess.gg/profile/BR/cMAXtempura,https://app.mobalytics.gg/pt_br/tft/profile/BR/cMAXtempura/overview
shirokuro6,136,160,78,54,https://lolchess.gg/profile/BR/shirokuro6,https://app.mobalytics.gg/pt_br/tft/profile/BR/shirokuro6/overview
MABARIKO,839,371,77,102,https://lolchess.gg/profile/BR/MABARIKO,https://app.mobalytics.gg/pt_br/tft/profile/BR/MABARIKO/overview
Aboutdr,165,477,77,37,https://lolchess.gg/profile/BR/Aboutdr,https://app.mobalytics.gg/pt_br/tft/profile/BR/Aboutdr/overview
suzukaqma,77,817,77,79,https://lolchess.gg/profile/BR/suzukaqma,https://app.mobalytics.gg/pt_br/tft/profile/BR/suzukaqma/overview
bail and,77,330,77,21,https://lolchess.gg/profile/BR/bail and,https://app.mobalytics.gg/pt_br/tft/profile/BR/bail and/overview
shikirow,515,539,76,97,https://lolchess.gg/profile/BR/shikirow,https://app.mobalytics.gg/pt_br/tft/profile/BR/shikirow/overview
aaphee,111,533,75,35,https://lolchess.gg/profile/BR/aaphee,https://app.mobalytics.gg/pt_br/tft/profile/BR/aaphee/overview
130amm,75,199,75,14,https://lolchess.gg/profile/BR/130amm,https://app.mobalytics.gg/pt_br/tft/profile/BR/130amm/overview
ONLee Sin Taro,75,85,75,3,https://lolchess.gg/profile/BR/ONLee Sin Taro,https://app.mobalytics.gg/pt_br/tft/profile/BR/ONLee Sin Taro/overview
Kiparisv3,292,121,74,7,https://lolchess.gg/profile/BR/Kiparisv3,https://app.mobalytics.gg/pt_br/tft/profile/BR/Kiparisv3/overview
hhpss,100,277,74,88,https://lolchess.gg/profile/BR/hhpss,https://app.mobalytics.gg/pt_br/tft/profile/BR/hhpss/overview
ngophuchung,73,341,73,52,https://lolchess.gg/profile/BR/ngophuchung,https://app.mobalytics.gg/pt_br/tft/profile/BR/ngophuchung/overview
L1lykn1ght,512,213,72,13,https://lolchess.gg/profile/BR/L1lykn1ght,https://app.mobalytics.gg/pt_br/tft/profile/BR/L1lykn1ght/overview
Laid Back,130,145,72,13,https://lolchess.gg/profile/BR/Laid Back,https://app.mobalytics.gg/pt_br/tft/profile/BR/Laid Back/overview
みさな,113,297,72,28,https://lolchess.gg/profile/BR/みさな,https://app.mobalytics.gg/pt_br/tft/profile/BR/みさな/overview
STG Onlyミー,85,227,72,22,https://lolchess.gg/profile/BR/STG Onlyミー,https://app.mobalytics.gg/pt_br/tft/profile/BR/STG Onlyミー/overview
Takessy,72,228,72,3,https://lolchess.gg/profile/BR/Takessy,https://app.mobalytics.gg/pt_br/tft/profile/BR/Takessy/overview
